NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
V2527A;EPNL;A;2000.0;96.9;92.3;88.5;84.6;78.6;71.5;66.3;59.8;51.5;40.7
V2527A;EPNL;A;2700.0;97.0;92.4;88.6;84.7;78.6;71.5;66.3;59.9;51.5;40.8
V2527A;EPNL;A;6000.0;99.0;94.3;90.4;86.2;79.7;72.3;67.0;60.4;52.2;41.6
V2527A;EPNL;D;10000.0;100.5;94.7;90.8;86.6;80.1;72.5;67.2;60.6;51.1;39.5
V2527A;EPNL;D;14000.0;103.7;98.6;94.8;90.7;84.0;76.4;71.2;64.5;56.5;45.2
V2527A;EPNL;D;19000.0;106.7;102.2;98.4;94.7;88.7;82.1;77.6;71.6;64.3;55.0
V2527A;EPNL;D;23000.0;108.2;104.1;101.0;97.6;91.9;85.9;81.6;75.7;68.8;60.6
V2527A;LAmax;A;2000.0;89.3;82.8;78.2;73.4;65.8;57.4;51.2;44.4;36.7;28.6
V2527A;LAmax;A;2700.0;89.5;83.0;78.3;73.5;65.8;57.4;51.3;44.4;36.7;28.6
V2527A;LAmax;A;6000.0;91.6;84.7;79.5;74.2;66.5;58.0;51.9;45.0;37.2;29.1
V2527A;LAmax;D;10000.0;94.8;86.3;80.5;74.8;66.5;57.6;51.1;44.0;36.2;28.2
V2527A;LAmax;D;14000.0;96.7;88.6;83.5;78.4;70.5;61.7;55.3;48.1;40.1;31.8
V2527A;LAmax;D;19000.0;101.2;93.9;89.0;84.0;76.1;67.3;61.1;54.1;46.3;38.2
V2527A;LAmax;D;23000.0;104.0;96.9;92.2;87.3;79.4;70.8;64.7;57.9;50.3;42.0
V2527A;PNLTM;A;2000.0;103.3;96.5;91.3;85.5;76.9;67.6;60.9;53.0;43.6;32.3
V2527A;PNLTM;A;2700.0;103.8;96.7;91.1;85.3;76.9;67.7;60.9;53.0;43.6;32.1
V2527A;PNLTM;A;6000.0;106.3;99.2;93.4;87.0;78.8;68.3;61.4;53.5;44.0;32.6
V2527A;PNLTM;D;10000.0;113.0;104.5;98.0;90.4;80.4;68.7;61.4;53.8;43.1;30.2
V2527A;PNLTM;D;14000.0;113.5;104.1;97.3;91.2;82.0;71.6;65.3;58.0;48.4;35.7
V2527A;PNLTM;D;19000.0;116.2;108.8;103.6;97.8;88.0;78.3;72.7;65.0;55.7;44.9
V2527A;PNLTM;D;23000.0;118.4;110.9;105.3;99.6;91.1;82.6;76.9;69.5;59.8;49.8
V2527A;SEL;A;2000.0;93.1;89.1;86.1;82.9;77.7;71.7;67.1;61.9;55.8;49.2
V2527A;SEL;A;2700.0;93.3;89.2;86.2;83.0;77.7;71.8;67.2;62.0;55.8;49.3
V2527A;SEL;A;6000.0;94.7;90.5;87.4;83.9;78.5;72.3;67.7;62.5;56.3;49.7
V2527A;SEL;D;10000.0;95.0;90.2;86.8;83.5;78.1;71.8;67.2;61.9;55.9;49.4
V2527A;SEL;D;14000.0;98.3;93.9;90.9;87.6;82.1;75.8;71.1;65.6;59.4;52.8
V2527A;SEL;D;19000.0;102.5;98.4;95.5;92.3;87.2;81.1;76.7;71.5;65.7;59.4
V2527A;SEL;D;23000.0;104.6;100.7;98.0;95.0;90.0;84.3;80.0;75.1;69.5;63.3
